locus_tag	ftype	length_bp	gene	EC_number	COG	product
PMLADGDC_01223	CDS	11475				hypothetical protein
PMLADGDC_01224	CDS	1410	bepC			Outer membrane efflux protein BepC
PMLADGDC_01225	CDS	2181	ltxB	7.4.2.5	COG2274	Leukotoxin export ATP-binding protein LtxB
PMLADGDC_01226	CDS	1191	prsE_1			Type I secretion system membrane fusion protein PrsE
PMLADGDC_01227	tmRNA	363	ssrA			transfer-messenger RNA, SsrA
PMLADGDC_01228	CDS	243				hypothetical protein
PMLADGDC_01229	CDS	1119				hypothetical protein
PMLADGDC_01230	CDS	1701				hypothetical protein
PMLADGDC_01231	CDS	546				hypothetical protein
PMLADGDC_01232	CDS	726				hypothetical protein
PMLADGDC_01233	CDS	555				hypothetical protein
PMLADGDC_01234	CDS	2106				hypothetical protein
PMLADGDC_01235	CDS	588				hypothetical protein
PMLADGDC_01236	CDS	1185				hypothetical protein
PMLADGDC_01237	CDS	330				hypothetical protein
PMLADGDC_01238	CDS	1971				hypothetical protein
PMLADGDC_01239	CDS	258				hypothetical protein
PMLADGDC_01240	CDS	333				hypothetical protein
PMLADGDC_01241	CDS	342				hypothetical protein
PMLADGDC_01242	CDS	294				hypothetical protein
PMLADGDC_01243	CDS	456				hypothetical protein
PMLADGDC_01244	CDS	1128				hypothetical protein
PMLADGDC_01245	CDS	708				hypothetical protein
PMLADGDC_01246	CDS	507				hypothetical protein
PMLADGDC_01247	CDS	504				hypothetical protein
PMLADGDC_01248	CDS	702				hypothetical protein
PMLADGDC_01249	CDS	1023				hypothetical protein
PMLADGDC_01250	CDS	804				hypothetical protein
PMLADGDC_01251	CDS	1776				hypothetical protein
PMLADGDC_01252	CDS	1062				hypothetical protein
PMLADGDC_01253	CDS	270				hypothetical protein
PMLADGDC_01254	CDS	213				hypothetical protein
PMLADGDC_01255	CDS	2022				hypothetical protein
PMLADGDC_01256	CDS	834	dam_1	2.1.1.72	COG0338	DNA adenine methylase
PMLADGDC_01257	CDS	330				hypothetical protein
PMLADGDC_01258	CDS	231				hypothetical protein
PMLADGDC_01259	CDS	402				hypothetical protein
PMLADGDC_01260	CDS	195				hypothetical protein
PMLADGDC_01261	CDS	228				hypothetical protein
PMLADGDC_01262	CDS	591				hypothetical protein
PMLADGDC_01263	CDS	204				hypothetical protein
PMLADGDC_01264	CDS	567				hypothetical protein
PMLADGDC_01265	CDS	1011	xerC_1			Tyrosine recombinase XerC
PMLADGDC_01266	CDS	1194	intA_1		COG0582	Prophage integrase IntA
PMLADGDC_01267	CDS	606				hypothetical protein
PMLADGDC_01268	CDS	894				hypothetical protein
PMLADGDC_01269	CDS	567				hypothetical protein
PMLADGDC_01270	CDS	246				hypothetical protein
PMLADGDC_01271	CDS	738				hypothetical protein
PMLADGDC_01272	CDS	267				hypothetical protein
PMLADGDC_01273	CDS	195				hypothetical protein
PMLADGDC_01274	CDS	228				hypothetical protein
PMLADGDC_01275	CDS	321				hypothetical protein
PMLADGDC_01276	CDS	2334				hypothetical protein
PMLADGDC_01277	CDS	471				hypothetical protein
PMLADGDC_01278	CDS	1521	fljB_1		COG1344	Phase 2 flagellin
PMLADGDC_01279	CDS	573	hin_1		COG1961	DNA-invertase hin
PMLADGDC_01280	CDS	1116	elmGT	2.4.1.331		Elloramycin glycosyltransferase ElmGT
PMLADGDC_01281	CDS	3657		3.6.3.-		Multidrug efflux ATP-binding/permease protein
PMLADGDC_01282	CDS	1245	fes_2		COG2382	Enterochelin esterase
PMLADGDC_01283	CDS	936				hypothetical protein
PMLADGDC_01284	CDS	2175	pfeA		COG4771	Ferric enterobactin receptor
PMLADGDC_01285	CDS	312				hypothetical protein
PMLADGDC_01286	CDS	1053	pipB2		COG1357	Secreted effector protein PipB2
PMLADGDC_01287	CDS	930				hypothetical protein
PMLADGDC_01288	CDS	897				hypothetical protein
PMLADGDC_01289	CDS	114				hypothetical protein
PMLADGDC_01290	CDS	1014	hoxN			High-affinity nickel transport protein
PMLADGDC_01291	CDS	1416	qseC_1	2.7.13.3		Sensor protein QseC
PMLADGDC_01292	CDS	675	tctD		COG0745	Transcriptional regulatory protein tctD
PMLADGDC_01293	CDS	978				hypothetical protein
PMLADGDC_01294	CDS	432				hypothetical protein
PMLADGDC_01295	CDS	1515				hypothetical protein
PMLADGDC_01296	CDS	135				hypothetical protein
PMLADGDC_01297	CDS	117				hypothetical protein
PMLADGDC_01298	CDS	978	glaH	1.14.11.-		Glutarate 2-hydroxylase
PMLADGDC_01299	CDS	1269	lhgD	1.1.5.-	COG0579	L-2-hydroxyglutarate dehydrogenase
PMLADGDC_01300	CDS	1449	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
PMLADGDC_01301	CDS	1284	gabT	2.6.1.19	COG0160	4-aminobutyrate aminotransferase GabT
PMLADGDC_01302	CDS	1401	gabP		COG1113	GABA permease
PMLADGDC_01303	CDS	678	glaR		COG1802	HTH-type transcriptional repressor GlaR
PMLADGDC_01304	CDS	450	kbp		COG1652	Potassium binding protein Kbp
PMLADGDC_01305	CDS	159				hypothetical protein
PMLADGDC_01306	CDS	300	ygaV		COG0640	putative HTH-type transcriptional regulator YgaV
PMLADGDC_01307	CDS	528	ygaP		COG0607	Inner membrane protein YgaP
PMLADGDC_01308	CDS	180				hypothetical protein
PMLADGDC_01309	CDS	402	stpA		COG2916	DNA-binding protein StpA
PMLADGDC_01310	CDS	450	alaE			L-alanine exporter AlaE
PMLADGDC_01311	CDS	351				hypothetical protein
PMLADGDC_01312	CDS	327	ygaM		COG4575	putative protein YgaM
PMLADGDC_01313	CDS	1335	gabR		COG1167	HTH-type transcriptional regulatory protein GabR
PMLADGDC_01314	CDS	432	ahpD	1.11.1.15		Alkyl hydroperoxide reductase AhpD
PMLADGDC_01315	CDS	246	nrdH		COG0695	Glutaredoxin-like protein NrdH
PMLADGDC_01316	CDS	411	nrdI		COG1780	Protein NrdI
PMLADGDC_01317	CDS	2118	nrdE	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 2 subunit alpha
PMLADGDC_01318	CDS	960	nrdF	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 2 subunit beta
PMLADGDC_01319	CDS	1203	proV		COG4175	Glycine betaine/proline betaine transport system ATP-binding protein ProV
PMLADGDC_01320	CDS	1065	proW		COG4176	Glycine betaine/proline betaine transport system permease protein ProW
PMLADGDC_01321	CDS	996	proX		COG2113	Glycine betaine/proline betaine-binding periplasmic protein
PMLADGDC_01322	CDS	1185				putative transporter
PMLADGDC_01323	CDS	531	mprA		COG1846	Transcriptional repressor MprA
PMLADGDC_01324	CDS	1173	emrA		COG1566	Multidrug export protein EmrA
PMLADGDC_01325	CDS	1539	emrB			Multidrug export protein EmrB
PMLADGDC_01326	CDS	1371				hypothetical protein
PMLADGDC_01327	CDS	516	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
PMLADGDC_01328	CDS	1557	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
PMLADGDC_01329	CDS	426	yqaA		COG1238	Inner membrane protein YqaA
PMLADGDC_01330	CDS	567	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
PMLADGDC_01331	tRNA	77				tRNA-Arg(acg)
PMLADGDC_01332	tRNA	77				tRNA-Arg(acg)
PMLADGDC_01333	tRNA	77				tRNA-Arg(acg)
PMLADGDC_01334	tRNA	77				tRNA-Arg(acg)
PMLADGDC_01335	tRNA	93				tRNA-Ser(gct)
PMLADGDC_01336	CDS	186	csrA		COG1551	Carbon storage regulator
PMLADGDC_01337	CDS	2631	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
PMLADGDC_01338	CDS	540	recX		COG2137	Regulatory protein RecX
PMLADGDC_01339	CDS	1062	recA		COG0468	Protein RecA
PMLADGDC_01340	CDS	489	pncC_2	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
PMLADGDC_01341	CDS	246				hypothetical protein
PMLADGDC_01342	CDS	1080	mltB	4.2.2.-	COG2951	Membrane-bound lytic murein transglycosylase B
PMLADGDC_01343	CDS	564	srlA		COG3730	PTS system glucitol/sorbitol-specific EIIC component
PMLADGDC_01344	CDS	972	srlE	2.7.1.198	COG3732	PTS system glucitol/sorbitol-specific EIIB component
PMLADGDC_01345	CDS	363	srlB		COG3731	PTS system glucitol/sorbitol-specific EIIA component
PMLADGDC_01346	CDS	780	srlD	1.1.1.140	COG1028	Sorbitol-6-phosphate 2-dehydrogenase
PMLADGDC_01347	CDS	360				hypothetical protein
PMLADGDC_01348	CDS	774	srlR_1		COG1349	Glucitol operon repressor
PMLADGDC_01349	CDS	966	gutQ	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase GutQ
PMLADGDC_01350	CDS	1521	norR_2		COG3604	Anaerobic nitric oxide reductase transcription regulator NorR
PMLADGDC_01351	CDS	1440	norV_2		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
PMLADGDC_01352	CDS	1134	norW	1.18.1.-	COG1251	Nitric oxide reductase FlRd-NAD(+) reductase
PMLADGDC_01353	CDS	2241	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
PMLADGDC_01354	CDS	546	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
PMLADGDC_01355	CDS	810				hypothetical protein
PMLADGDC_01356	CDS	471	hycI	3.4.23.51	COG0680	Hydrogenase 3 maturation protease
PMLADGDC_01357	CDS	411				hypothetical protein
PMLADGDC_01358	CDS	768	hycG		COG3260	Formate hydrogenlyase subunit 7
PMLADGDC_01359	CDS	543	ndhI	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
PMLADGDC_01360	CDS	1710	hycE		COG3261	Formate hydrogenlyase subunit 5
PMLADGDC_01361	CDS	924	hycD		COG0650	Formate hydrogenlyase subunit 4
PMLADGDC_01362	CDS	1827	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
PMLADGDC_01363	CDS	600	hyfA_2	1.-.-.-	COG1142	Hydrogenase-4 component A
PMLADGDC_01364	CDS	462	hycA			Formate hydrogenlyase regulatory protein HycA
PMLADGDC_01365	CDS	357	hypA		COG0375	Hydrogenase maturation factor HypA
PMLADGDC_01366	CDS	873	hypB		COG0378	Hydrogenase maturation factor HypB
PMLADGDC_01367	CDS	273	hypC		COG0298	Hydrogenase maturation factor HypC
PMLADGDC_01368	CDS	1122	hypD		COG0409	Hydrogenase maturation factor HypD
PMLADGDC_01369	CDS	1011	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
PMLADGDC_01370	CDS	2079	fhlA		COG3604	Formate hydrogenlyase transcriptional activator
PMLADGDC_01371	CDS	345				hypothetical protein
PMLADGDC_01372	CDS	918			COG0803	putative periplasmic iron-binding protein
PMLADGDC_01373	CDS	822	mntB_1		COG1121	Manganese transport system ATP-binding protein MntB
PMLADGDC_01374	CDS	861	mntB_2			Manganese transport system membrane protein MntB
PMLADGDC_01375	CDS	849	mntB_3			Manganese transport system membrane protein MntB
PMLADGDC_01376	CDS	867	yopJ			Effector protein YopJ
PMLADGDC_01377	CDS	756				hypothetical protein
PMLADGDC_01378	CDS	888	rhaR_3			HTH-type transcriptional activator RhaR
PMLADGDC_01379	CDS	453				hypothetical protein
PMLADGDC_01380	CDS	681	orgB			Oxygen-regulated invasion protein OrgB
PMLADGDC_01381	CDS	579	orgA			Oxygen-regulated invasion protein OrgA
PMLADGDC_01382	CDS	759	prgK		COG4669	Lipoprotein PrgK
PMLADGDC_01383	CDS	306				hypothetical protein
PMLADGDC_01384	CDS	243	prgI			Protein PrgI
PMLADGDC_01385	CDS	1236	prgH			Protein PrgH
PMLADGDC_01386	CDS	930	rhaR_4			HTH-type transcriptional activator RhaR
PMLADGDC_01387	CDS	1662	hilA		COG0457	Transcriptional regulator HilA
PMLADGDC_01388	CDS	483				hypothetical protein
PMLADGDC_01389	CDS	1608	sptP			Secreted effector protein SptP
PMLADGDC_01390	CDS	393	sicP			Chaperone protein sicP
PMLADGDC_01391	CDS	261				hypothetical protein
PMLADGDC_01392	CDS	249	acpP_2		COG0236	Acyl carrier protein
PMLADGDC_01393	CDS	2058	sipA			Cell invasion protein SipA
PMLADGDC_01394	CDS	1032	sipD			Cell invasion protein SipD
PMLADGDC_01395	CDS	1230	sipC			Cell invasion protein SipC
PMLADGDC_01396	CDS	1782	sipB			Cell invasion protein SipB
PMLADGDC_01397	CDS	498	sicA		COG0457	Chaperone protein SicA
PMLADGDC_01398	CDS	1071	spaS		COG1377	Surface presentation of antigens protein SpaS
PMLADGDC_01399	CDS	792	spaR_2		COG4791	Surface presentation of antigens protein SpaR
PMLADGDC_01400	CDS	261	spaQ_2		COG4794	Surface presentation of antigens protein SpaQ
PMLADGDC_01401	CDS	675	spaP_2		COG4790	Surface presentation of antigens protein SpaP
PMLADGDC_01402	CDS	912	spaO		COG1886	Surface presentation of antigens protein SpaO
PMLADGDC_01403	CDS	1011				hypothetical protein
PMLADGDC_01404	CDS	444				hypothetical protein
PMLADGDC_01405	CDS	1296	spaL	7.1.2.2	COG1157	putative ATP synthase SpaL
PMLADGDC_01406	CDS	408	spaK			Surface presentation of antigens protein SpaK
PMLADGDC_01407	CDS	2058	invA		COG4789	Invasion protein InvA
PMLADGDC_01408	CDS	1119	mxiC			Protein MxiC
PMLADGDC_01409	CDS	1689	sctC_2		COG1450	Type 3 secretion system secretin
PMLADGDC_01410	CDS	750	invF			Invasion protein InvF
PMLADGDC_01411	CDS	444	invH			Type 3 secretion system pilotin
PMLADGDC_01412	CDS	450				hypothetical protein
PMLADGDC_01413	CDS	333				hypothetical protein
PMLADGDC_01414	CDS	327				hypothetical protein
PMLADGDC_01415	CDS	282				hypothetical protein
PMLADGDC_01416	CDS	528				hypothetical protein
PMLADGDC_01417	CDS	141				hypothetical protein
PMLADGDC_01418	CDS	657	pphB	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 2
PMLADGDC_01419	CDS	495				hypothetical protein
PMLADGDC_01420	CDS	669				hypothetical protein
PMLADGDC_01421	CDS	2568	mutS		COG0249	DNA mismatch repair protein MutS
PMLADGDC_01422	CDS	381				hypothetical protein
PMLADGDC_01423	CDS	1209	jefA			Drug efflux pump JefA
PMLADGDC_01424	CDS	912	dmlR_5			HTH-type transcriptional regulator DmlR
PMLADGDC_01425	CDS	1497	gntT_1		COG2610	High-affinity gluconate transporter
PMLADGDC_01426	CDS	951	denD	1.1.1.410	COG0451	D-erythronate dehydrogenase
PMLADGDC_01427	CDS	777	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
PMLADGDC_01428	CDS	639	otnC	4.1.1.104		3-oxo-tetronate 4-phosphate decarboxylase
PMLADGDC_01429	CDS	1263	otnK	2.7.1.217	COG3395	3-oxo-tetronate kinase
PMLADGDC_01430	CDS	924	ltnD	1.1.1.411		L-threonate dehydrogenase
PMLADGDC_01431	CDS	765	srlR_2		COG1349	Glucitol operon repressor
PMLADGDC_01432	CDS	405	hosA			Transcriptional regulator HosA
PMLADGDC_01433	CDS	594	ecdB	2.5.1.129	COG0163	putative UbiX-like flavin prenyltransferase
PMLADGDC_01434	CDS	1428	edcC	4.1.1.61	COG0043	Phenolic acid decarboxylase
PMLADGDC_01435	CDS	237	vdcD			Protein VdcD
PMLADGDC_01436	CDS	993	rpoS			RNA polymerase sigma factor RpoS
PMLADGDC_01437	CDS	1134	nlpD_1			Murein hydrolase activator NlpD
PMLADGDC_01438	CDS	627	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
PMLADGDC_01439	CDS	762	surE	3.1.3.5	COG0496	5'/3'-nucleotidase SurE
PMLADGDC_01440	CDS	1050	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
PMLADGDC_01441	CDS	480	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
PMLADGDC_01442	CDS	711	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
PMLADGDC_01443	CDS	312	ftsB		COG2919	Cell division protein FtsB
PMLADGDC_01444	CDS	324	ygbE			Inner membrane protein YgbE
PMLADGDC_01445	CDS	606	cysC	2.7.1.25	COG0529	Adenylyl-sulfate kinase
PMLADGDC_01446	CDS	1440	cysN	2.7.7.4	COG2895	Sulfate adenylyltransferase subunit 1
PMLADGDC_01447	CDS	909	cysD_1	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
PMLADGDC_01448	CDS	1047				hypothetical protein
	repeat_region	700				
PMLADGDC_01449	CDS	294	ygbF	3.1.-.-		CRISPR-associated endoribonuclease Cas2
PMLADGDC_01450	CDS	921	ygbT	3.1.-.-	COG1518	CRISPR-associated endonuclease Cas1
PMLADGDC_01451	CDS	651	casE	3.1.-.-		CRISPR system Cascade subunit CasE
PMLADGDC_01452	CDS	747				hypothetical protein
PMLADGDC_01453	CDS	1059	casC			CRISPR system Cascade subunit CasC
PMLADGDC_01454	CDS	549				hypothetical protein
PMLADGDC_01455	CDS	1560				hypothetical protein
PMLADGDC_01456	CDS	2664	ygcB	3.1.-.-	COG1203	CRISPR-associated endonuclease/helicase Cas3
PMLADGDC_01457	CDS	954	sopD			Secreted effector protein SopD
PMLADGDC_01458	CDS	735	cysH_2	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
PMLADGDC_01459	CDS	1713	cysI	1.8.1.2	COG0155	Sulfite reductase [NADPH] hemoprotein beta-component
PMLADGDC_01460	CDS	1800	cysJ	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
PMLADGDC_01461	CDS	363	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
PMLADGDC_01462	CDS	798	rbn_1	3.1.26.11		Ribonuclease BN
PMLADGDC_01463	CDS	672	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
PMLADGDC_01464	CDS	1299	eno	4.2.1.11	COG0148	Enolase
PMLADGDC_01465	CDS	1638	pyrG	6.3.4.2	COG0504	CTP synthase
PMLADGDC_01466	CDS	801	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
PMLADGDC_01467	CDS	588	mrpA_1		COG3539	Major MR/P fimbria protein
PMLADGDC_01468	CDS	2646	papC_1		COG3188	Outer membrane usher protein PapC
PMLADGDC_01469	CDS	774	yfcS_1		COG3121	putative fimbrial chaperone YfcS
PMLADGDC_01470	CDS	501	yfcR_1			putative fimbrial-like protein YfcR
PMLADGDC_01471	CDS	486	yfcQ_1			putative fimbrial-like protein YfcQ
PMLADGDC_01472	CDS	492	yfcP_1			putative fimbrial-like protein YfcP
PMLADGDC_01473	CDS	1032				hypothetical protein
PMLADGDC_01474	CDS	2235	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
PMLADGDC_01475	CDS	1296	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
PMLADGDC_01476	CDS	2757	barA	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
PMLADGDC_01477	CDS	1143	garK_1	2.7.1.165	COG1929	Glycerate 2-kinase
PMLADGDC_01478	CDS	1341	gudD	4.2.1.40	COG4948	Glucarate dehydratase
PMLADGDC_01479	CDS	1341	gudX	4.2.1.-	COG4948	Glucarate dehydratase-related protein
PMLADGDC_01480	CDS	1359	gudP_1			putative glucarate transporter
PMLADGDC_01481	CDS	450			COG0716	putative protein
PMLADGDC_01482	CDS	783	truC	5.4.99.26	COG0564	tRNA pseudouridine synthase C
PMLADGDC_01483	CDS	330	yqcC		COG3098	putative protein YqcC
PMLADGDC_01484	CDS	546	syd			Protein Syd
PMLADGDC_01485	CDS	849	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
PMLADGDC_01486	CDS	1365	ppnN	3.2.2.-	COG1611	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
PMLADGDC_01487	CDS	1290	sdaC		COG0814	Serine transporter
PMLADGDC_01488	CDS	1368	sdaB	4.3.1.17	COG1760	L-serine dehydratase 2
PMLADGDC_01489	CDS	756	ygdG	3.1.-.-	COG0258	Flap endonuclease Xni
PMLADGDC_01490	CDS	1149	fucO	1.1.1.77	COG1454	Lactaldehyde reductase
PMLADGDC_01491	CDS	648	fucA	4.1.2.17	COG0235	L-fuculose phosphate aldolase
PMLADGDC_01492	CDS	1317	fucP_1		COG0738	L-fucose-proton symporter
PMLADGDC_01493	CDS	1776	fucI	5.3.1.25	COG2407	L-fucose isomerase
PMLADGDC_01494	CDS	1419	fucK	2.7.1.51	COG1070	L-fuculokinase
PMLADGDC_01495	CDS	423	fucU	5.1.3.29	COG4154	L-fucose mutarotase
PMLADGDC_01496	CDS	711	ydjF		COG1349	putative HTH-type transcriptional regulator YdjF
PMLADGDC_01497	CDS	1101	rlmM	2.1.1.186	COG2933	Ribosomal RNA large subunit methyltransferase M
PMLADGDC_01498	CDS	396				hypothetical protein
PMLADGDC_01499	CDS	918	gcvA			Glycine cleavage system transcriptional activator
PMLADGDC_01500	CDS	123				hypothetical protein
PMLADGDC_01501	CDS	228	ygdR_1			putative lipoprotein YgdR
PMLADGDC_01502	CDS	1206	csdA	2.8.1.7	COG0520	Cysteine desulfurase CsdA
PMLADGDC_01503	CDS	444	csdE		COG2166	Sulfur acceptor protein CsdE
PMLADGDC_01504	CDS	915	rarD_1		COG2962	Protein RarD
PMLADGDC_01505	CDS	807	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
PMLADGDC_01506	CDS	1098	mltA	4.2.2.-	COG2821	Membrane-bound lytic murein transglycosylase A
PMLADGDC_01507	tRNA	77				tRNA-Met(cat)
PMLADGDC_01508	tRNA	77				tRNA-Met(cat)
PMLADGDC_01509	CDS	1254	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
PMLADGDC_01510	CDS	1332	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
PMLADGDC_01511	CDS	1836	recD	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
PMLADGDC_01512	CDS	3546	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
PMLADGDC_01513	CDS	2889	ptrA	3.4.24.55	COG1025	Protease 3
PMLADGDC_01514	CDS	3372	recC	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
PMLADGDC_01515	CDS	321				hypothetical protein
PMLADGDC_01516	CDS	408				hypothetical protein
PMLADGDC_01517	CDS	564				hypothetical protein
PMLADGDC_01518	CDS	471				hypothetical protein
PMLADGDC_01519	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
PMLADGDC_01520	CDS	876	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
PMLADGDC_01521	CDS	2247	ptsP	2.7.3.9	COG3605	Phosphoenolpyruvate-dependent phosphotransferase system
PMLADGDC_01522	CDS	531	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
PMLADGDC_01523	CDS	696	mutH		COG3066	DNA mismatch repair protein MutH
PMLADGDC_01524	CDS	714				hypothetical protein
PMLADGDC_01525	CDS	219	ygdR_2			putative lipoprotein YgdR
PMLADGDC_01526	CDS	1041	tas		COG0667	Protein tas
PMLADGDC_01527	CDS	1203	lplT			Lysophospholipid transporter LplT
PMLADGDC_01528	CDS	2160	aas		COG0204	Bifunctional protein Aas
PMLADGDC_01529	CDS	1029	galR		COG1609	HTH-type transcriptional regulator GalR
PMLADGDC_01530	CDS	1020	ascG		COG1609	HTH-type transcriptional regulator AscG
PMLADGDC_01531	CDS	1263	lysA_1	4.1.1.20		Diaminopimelate decarboxylase
PMLADGDC_01532	CDS	936	occR			Octopine catabolism/uptake operon regulatory protein OccR
PMLADGDC_01533	CDS	708	ygeA_1	5.1.1.13		L-aspartate/glutamate-specific racemase
PMLADGDC_01534	CDS	1419	araE			Arabinose-proton symporter
PMLADGDC_01535	CDS	762	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
PMLADGDC_01536	CDS	912	kduI	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
PMLADGDC_01537	CDS	1179	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
PMLADGDC_01538	CDS	864	allS_2			HTH-type transcriptional activator AllS
PMLADGDC_01539	CDS	456				hypothetical protein
PMLADGDC_01540	CDS	1230	yqeG		COG0814	Inner membrane transport protein YqeG
PMLADGDC_01541	CDS	273	rcnR		COG1937	Transcriptional repressor RcnR
PMLADGDC_01542	CDS	855	rcnA		COG2215	Nickel/cobalt efflux system RcnA
PMLADGDC_01543	CDS	759				hypothetical protein
PMLADGDC_01544	CDS	507				hypothetical protein
PMLADGDC_01545	CDS	1050				hypothetical protein
PMLADGDC_01546	CDS	744	papD		COG3121	Chaperone protein PapD
PMLADGDC_01547	CDS	2490	papC_2		COG3188	Outer membrane usher protein PapC
PMLADGDC_01548	CDS	447	mrpA_2		COG3539	Major MR/P fimbria protein
PMLADGDC_01549	CDS	582				hypothetical protein
PMLADGDC_01550	CDS	267				hypothetical protein
PMLADGDC_01551	CDS	2064				hypothetical protein
PMLADGDC_01552	CDS	894				hypothetical protein
PMLADGDC_01553	CDS	273				hypothetical protein
PMLADGDC_01554	CDS	282				hypothetical protein
PMLADGDC_01555	CDS	219				hypothetical protein
PMLADGDC_01556	CDS	207				hypothetical protein
PMLADGDC_01557	CDS	693				hypothetical protein
PMLADGDC_01558	CDS	192				hypothetical protein
PMLADGDC_01559	CDS	516				hypothetical protein
PMLADGDC_01560	CDS	222				hypothetical protein
PMLADGDC_01561	CDS	687				hypothetical protein
PMLADGDC_01562	CDS	549				hypothetical protein
PMLADGDC_01563	CDS	378				hypothetical protein
PMLADGDC_01564	CDS	405				hypothetical protein
PMLADGDC_01565	CDS	468				hypothetical protein
PMLADGDC_01566	CDS	309				hypothetical protein
PMLADGDC_01567	CDS	213				hypothetical protein
PMLADGDC_01568	CDS	528				hypothetical protein
PMLADGDC_01569	CDS	579				hypothetical protein
PMLADGDC_01570	CDS	258				hypothetical protein
PMLADGDC_01571	CDS	501				hypothetical protein
PMLADGDC_01572	CDS	216				hypothetical protein
PMLADGDC_01573	CDS	474				hypothetical protein
PMLADGDC_01574	CDS	468				hypothetical protein
PMLADGDC_01575	CDS	174				hypothetical protein
PMLADGDC_01576	CDS	1641				hypothetical protein
PMLADGDC_01577	CDS	1590				hypothetical protein
PMLADGDC_01578	CDS	1161				hypothetical protein
PMLADGDC_01579	CDS	552				hypothetical protein
PMLADGDC_01580	CDS	1164				hypothetical protein
PMLADGDC_01581	CDS	399				hypothetical protein
PMLADGDC_01582	CDS	912				hypothetical protein
PMLADGDC_01583	CDS	444				hypothetical protein
PMLADGDC_01584	CDS	426				hypothetical protein
PMLADGDC_01585	CDS	690				hypothetical protein
PMLADGDC_01586	CDS	177				hypothetical protein
PMLADGDC_01587	CDS	1410				hypothetical protein
PMLADGDC_01588	CDS	375				hypothetical protein
PMLADGDC_01589	CDS	387				hypothetical protein
PMLADGDC_01590	CDS	2283				hypothetical protein
PMLADGDC_01591	CDS	1401				hypothetical protein
PMLADGDC_01592	CDS	1194				hypothetical protein
PMLADGDC_01593	CDS	699				hypothetical protein
PMLADGDC_01594	CDS	342				hypothetical protein
PMLADGDC_01595	CDS	1059				hypothetical protein
PMLADGDC_01596	CDS	573				hypothetical protein
PMLADGDC_01597	CDS	1365				hypothetical protein
PMLADGDC_01598	CDS	690				hypothetical protein
PMLADGDC_01599	CDS	561	hin_2		COG1961	DNA-invertase hin
PMLADGDC_01600	CDS	177				hypothetical protein
PMLADGDC_01601	CDS	264				hypothetical protein
PMLADGDC_01602	CDS	2355				hypothetical protein
